Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2000-01-04,39.82652247825247,40.16403509932721,38.13895937287878,39.489009857177734,819360,0.0,0.0,0.0
2000-01-05,39.15149419777504,40.5015482652409,39.15149419777504,40.164031982421875,596731,0.0,0.0,0.0
2000-01-06,40.164034912883835,42.864139556884766,40.164034912883835,42.864139556884766,2500522,0.0,0.0,0.0
2000-01-07,44.214189176881035,45.56424331665039,44.214189176881035,45.56424331665039,984939,0.0,0.0,0.0
2000-01-10,48.60185241699219,48.60185241699219,45.22672659409708,48.60185241699219,2427896,0.0,0.0,0.0
2000-01-11,51.3019610199056,51.3019610199056,45.22673034667969,45.22673034667969,1651332,0.0,0.0,0.0
2000-01-12,43.87667467926257,47.25180435180664,43.87667467926257,47.25180435180664,826274,0.0,0.0,0.0
2000-01-13,48.6018583126924,48.93937093592424,45.90175732683769,46.9142951965332,621719,0.0,0.0,0.0
2000-01-14,46.23926544189453,47.251803212870975,45.90175285156905,46.23926544189453,493071,0.0,0.0,0.0
2000-01-17,49.27688401597965,50.964447021484375,47.92682992363906,50.964447021484375,936227,0.0,0.0,0.0
2000-01-18,52.989525667094945,54.33957983686256,50.62693732389141,53.664554595947266,2095425,0.0,0.0,0.0
2000-01-19,53.32703599103962,54.00206489082202,51.63947296142578,51.63947296142578,1174804,0.0,0.0,0.0
2000-01-20,50.626934784399644,52.652010405565946,50.626934784399644,51.30195999145508,508025,0.0,0.0,0.0
2000-01-21,51.30196106950672,53.32703673322765,51.30196106950672,52.31449890136719,482771,0.0,0.0,0.0
2000-01-24,54.002066010969564,54.002066010969564,51.301961419643156,52.65201187133789,784461,0.0,0.0,0.0
2000-01-25,52.65200817605129,56.027137756347656,52.31449558681532,56.027137756347656,2042430,0.0,0.0,0.0
2000-01-26,59.40226783396374,59.73978042602539,57.71470487365551,59.73978042602539,1312540,0.0,0.0,0.0
2000-01-27,63.78994009705219,63.78994009705219,60.7523193359375,60.7523193359375,3486122,0.0,0.0,0.0
2000-01-28,60.7523200709914,63.45242089054143,59.40226966121638,61.427345275878906,1937656,0.0,0.0,0.0
2000-01-31,67.5025775610568,69.86516571044922,67.5025775610568,69.86516571044922,872494,0.0,0.0,0.0
2000-02-01,74.5903549194336,74.5903549194336,74.5903549194336,74.5903549194336,1268603,0.0,0.0,0.0
2000-02-02,74.5903549194336,74.5903549194336,74.5903549194336,74.5903549194336,0,0.0,0.0,0.0
2000-02-03,74.5903549194336,74.5903549194336,74.5903549194336,74.5903549194336,0,0.0,0.0,0.0
2000-02-04,74.5903549194336,74.5903549194336,74.5903549194336,74.5903549194336,0,0.0,0.0,0.0
2000-02-07,74.5903549194336,74.5903549194336,74.5903549194336,74.5903549194336,0,0.0,0.0,0.0
2000-02-08,74.5903549194336,74.5903549194336,74.5903549194336,74.5903549194336,0,0.0,0.0,0.0
2000-02-09,79.31552124023438,79.65303381409555,69.52764922238715,79.31552124023438,3193085,0.0,0.0,0.0
2000-02-10,74.25284016724834,84.04071317833642,74.25284016724834,83.0281753540039,1824724,0.0,0.0,0.0
2000-02-11,83.02817040362862,88.76588439941406,83.02817040362862,88.76588439941406,1572517,0.0,0.0,0.0
2000-02-14,94.84111785888672,94.84111785888672,90.45345423819047,94.84111785888672,1735060,0.0,0.0,0.0
2000-02-15,101.25387475455577,101.25387475455577,89.77843827102078,96.86620330810547,2115391,0.0,0.0,0.0
2000-02-16,96.86619903444526,103.27894592285156,96.86619903444526,103.27894592285156,1785377,0.0,0.0,0.0
2000-02-17,109.35418769359086,110.02921295166016,109.35418769359086,110.02921295166016,906555,0.0,0.0,0.0
2000-02-18,117.4544906616211,117.4544906616211,117.4544906616211,117.4544906616211,995168,0.0,0.0,0.0
2000-02-21,132.98008285402753,132.98008285402753,124.20474047324147,128.929931640625,3324990,0.0,0.0,0.0
2000-02-22,128.25491194790885,128.25491194790885,120.15459442138672,120.15459442138672,1605277,0.0,0.0,0.0
2000-02-23,112.05427551269531,112.05427551269531,112.05427551269531,112.05427551269531,565389,0.0,0.0,0.0
2000-02-24,104.62899780273438,104.62899780273438,104.62899780273438,104.62899780273438,488459,0.0,0.0,0.0
2000-02-25,97.54122924804688,97.54122924804688,97.54122924804688,97.54122924804688,237502,0.0,0.0,0.0
2000-02-28,97.54122924804688,97.54122924804688,97.54122924804688,97.54122924804688,0,0.0,0.0,0.0
2000-02-29,90.79096984863281,90.79096984863281,90.79096984863281,90.79096984863281,303224,0.0,0.0,0.0
2000-03-01,84.71574158294337,96.86620330810547,84.71574158294337,96.86620330810547,3653755,0.0,0.0,0.0
2000-03-02,103.27894592285156,103.27894592285156,97.87874422808729,103.27894592285156,2673333,0.0,0.0,0.0
2000-03-03,103.95396734663088,108.00412584599067,97.87874066140137,99.90381622314453,2136569,0.0,0.0,0.0
2000-03-06,95.17863390053475,97.5412294656334,93.15355830977037,94.50360870361328,807616,0.0,0.0,0.0
2000-03-07,94.50361276288182,96.52868844063045,89.10341095555215,91.12848663330078,924101,0.0,0.0,0.0
2000-03-08,87.7533551457431,94.50361493600197,87.7533551457431,93.153564453125,1284408,0.0,0.0,0.0
2000-03-09,94.50361276288182,95.85366321471423,90.79097402034267,91.12848663330078,1235088,0.0,0.0,0.0
2000-03-10,93.15356411881932,93.15356411881932,85.05325387475355,85.72827911376953,1109375,0.0,0.0,0.0
2000-03-13,82.35315830594763,82.69067094753451,79.99056243896484,79.99056243896484,461329,0.0,0.0,0.0
2000-03-14,74.5903549194336,77.96548109755884,74.5903549194336,74.5903549194336,1020713,0.0,0.0,0.0
2000-03-15,70.87770815845896,79.65304352451459,70.20268292844499,77.62796783447266,1062776,0.0,0.0,0.0
2000-03-16,72.90279122437482,77.62796783447266,72.90279122437482,77.62796783447266,769909,0.0,0.0,0.0
2000-03-17,81.00309753417969,83.02817312856578,78.97801456392001,81.00309753417969,1466892,0.0,0.0,0.0
2000-03-20,78.30298614501953,78.30298614501953,78.30298614501953,78.30298614501953,72280,0.0,0.0,0.0
2000-03-21,75.60289125337404,83.70320129394531,75.60289125337404,83.70320129394531,685021,0.0,0.0,0.0
2000-03-22,89.44091033935547,89.44091033935547,86.06578443065277,89.44091033935547,1196052,0.0,0.0,0.0
2000-03-23,95.17863120990862,95.51614379882812,93.82858085423058,95.51614379882812,924663,0.0,0.0,0.0
2000-03-24,100.57884363856496,101.92889404296875,96.19117244837906,101.92889404296875,1757783,0.0,0.0,0.0
2000-03-27,101.92889178488771,108.00412584599067,98.89127844227295,99.90381622314453,1524422,0.0,0.0,0.0
2000-03-28,99.90381770846008,103.27894369487824,99.22879251117645,101.25386810302734,1088863,0.0,0.0,0.0
2000-03-29,101.25387028731497,106.65407935795297,100.57884507546943,103.27894592285156,1133921,0.0,0.0,0.0
2000-03-30,103.27894215938315,105.30401772112631,98.55376584864909,99.90381622314453,1242958,0.0,0.0,0.0
2000-03-31,99.90382170558854,102.60392260275346,96.52868820825852,97.87874603271484,988758,0.0,0.0,0.0
2000-04-03,97.87874603271484,97.87874603271484,97.87874603271484,97.87874603271484,0,0.0,0.0,0.0
2000-04-04,97.87874603271484,97.87874603271484,97.87874603271484,97.87874603271484,0,0.0,0.0,0.0
2000-04-05,98.89127844227295,101.25386659763998,98.89127844227295,99.90381622314453,844996,0.0,0.0,0.0
2000-04-06,99.90381636464693,106.6540756225586,99.90381636464693,106.6540756225586,1002736,0.0,0.0,0.0
2000-04-07,114.079345703125,114.079345703125,114.079345703125,114.079345703125,796605,0.0,0.0,0.0
2000-04-10,118.12951365067562,119.47956405511499,114.75438763957719,115.42941284179688,1636858,0.0,0.0,0.0
2000-04-11,115.42941357522952,119.47956481428209,115.42941357522952,116.10443878173828,1206232,0.0,0.0,0.0
2000-04-12,116.10444036373192,118.1295160108511,108.67915561508786,110.70423126220703,1255802,0.0,0.0,0.0
2000-04-13,104.62899634654264,105.97904677023371,103.27894592285156,103.27894592285156,746230,0.0,0.0,0.0
2000-04-14,103.27894592285156,103.27894592285156,103.27894592285156,103.27894592285156,0,0.0,0.0,0.0
2000-04-17,99.90382111727965,100.9163589477539,96.52868763982495,100.9163589477539,541227,0.0,0.0,0.0
2000-04-18,107.32910919189453,107.32910919189453,104.6290008523593,107.32910919189453,1061113,0.0,0.0,0.0
2000-04-19,111.37925815117596,111.37925815117596,104.62899851682842,105.30402374267578,770109,0.0,0.0,0.0
2000-04-20,104.62899268207366,108.00412599896623,101.92889192925838,106.6540756225586,504287,0.0,0.0,0.0
2000-04-21,110.02920769948123,110.7042329253286,105.30402374267578,105.30402374267578,389900,0.0,0.0,0.0
2000-04-24,104.62899459304874,106.6540775705204,98.21625518798828,98.21625518798828,410955,0.0,0.0,0.0
2000-04-25,91.80351296241614,101.25387361468152,91.80351296241614,99.22879791259766,440408,0.0,0.0,0.0
2000-04-26,99.90381524682303,100.57884042747399,92.47853088378906,92.47853088378906,466882,0.0,0.0,0.0
2000-04-27,96.52868429437765,96.52868429437765,92.47853311284891,94.50360870361328,375082,0.0,0.0,0.0
2000-04-28,94.50360417566829,97.20370483398438,92.47852868193122,97.20370483398438,414542,0.0,0.0,0.0
2000-05-01,97.20370483398438,97.20370483398438,97.20370483398438,97.20370483398438,0,0.0,0.0,0.0
2000-05-02,87.7533443167983,90.45345232522735,86.74080657958984,86.74080657958984,1839228,0.0,0.0,0.0
2000-05-03,82.69066052950143,83.36568572763014,81.00309753417969,81.00309753417969,1355502,0.0,0.0,0.0
2000-05-04,76.61542321911091,83.02816971343695,76.61542321911091,78.30298614501953,530856,0.0,0.0,0.0
2000-05-05,77.62797394785657,81.67813302277384,76.6154360230959,79.99056243896484,425504,0.0,0.0,0.0
2000-05-08,91.12848663330078,91.12848663330078,89.77843618146836,91.12848663330078,648928,0.0,0.0,0.0
2000-05-09,91.12848663330078,91.12848663330078,91.12848663330078,91.12848663330078,0,0.0,0.0,0.0
2000-05-10,93.82858244994577,93.82858244994577,90.1159439086914,90.1159439086914,361987,0.0,0.0,0.0
2000-05-11,87.75334979025106,89.10340756660952,84.04071118891774,84.71573638916016,469840,0.0,0.0,0.0
2000-05-12,87.7533485549983,87.7533485549983,85.3907603874066,87.07832336425781,172465,0.0,0.0,0.0
2000-05-15,88.42838287353516,93.15356707233727,87.75335761311689,88.42838287353516,5396664,0.0,0.0,0.0
2000-05-16,88.42837450070279,90.11594486783525,84.37822332168139,87.75334930419922,280672,0.0,0.0,0.0
2000-05-17,89.77843131403192,91.46599428732935,89.77843131403192,90.1159439086914,412883,0.0,0.0,0.0
2000-05-18,91.12848109440137,91.12848109440137,85.72827223942905,86.4032974243164,211132,0.0,0.0,0.0
2000-05-19,84.37822260129586,87.7533485549983,84.37822260129586,87.07832336425781,228990,0.0,0.0,0.0
2000-05-22,85.72827911376953,87.41584221130947,83.70320339672159,85.72827911376953,145511,0.0,0.0,0.0
2000-05-23,85.72826565237634,85.72826565237634,84.04070281982422,84.04070281982422,481037,0.0,0.0,0.0
2000-05-24,81.67811937271006,82.01563195789177,78.30298614501953,78.30298614501953,296080,0.0,0.0,0.0
2000-05-25,74.25283209949681,81.00309090415524,74.25283209949681,75.6028823852539,329464,0.0,0.0,0.0
2000-05-26,74.25283813476562,76.95293892574394,74.25283813476562,74.25283813476562,145412,0.0,0.0,0.0
2000-05-29,74.25284508514856,75.60289560700821,72.90279456328894,73.57781982421875,158555,0.0,0.0,0.0
2000-05-30,73.57781982421875,73.57781982421875,73.57781982421875,73.57781982421875,0,0.0,0.0,0.0
2000-05-31,76.95293580429264,78.30298614501953,75.60288546356574,78.30298614501953,170482,0.0,0.0,0.0
2000-06-01,78.3029845788609,80.32806742532031,76.27790910827463,76.95293426513672,152015,0.0,0.0,0.0
2000-06-02,78.64049715729195,78.64049715729195,76.95293426513672,76.95293426513672,131655,0.0,0.0,0.0
2000-06-05,74.9278633325102,76.27791372799935,74.25283813476562,74.25283813476562,110422,0.0,0.0,0.0
2000-06-06,74.25283813476562,74.25283813476562,74.25283813476562,74.25283813476562,0,0.0,0.0,0.0
2000-06-07,76.27791448356909,76.27791448356909,74.92786407470703,74.92786407470703,152338,0.0,0.0,0.0
2000-06-08,76.95294604908423,77.6279713093142,74.92787026839434,77.29045867919922,229655,0.0,0.0,0.0
2000-06-09,77.62795781388955,78.30298295676809,75.6028823852539,75.6028823852539,143198,0.0,0.0,0.0
2000-06-12,72.227762444206,74.92787088315363,70.54019927978516,70.54019927978516,530551,0.0,0.0,0.0
2000-06-13,65.81501770019531,68.85263117834324,65.81501770019531,65.81501770019531,440070,0.0,0.0,0.0
2000-06-14,62.43988308321017,64.46496607374635,61.427345275878906,61.427345275878906,310946,0.0,0.0,0.0
2000-06-15,57.37718946950114,65.47750286643942,57.37718946950114,63.789939880371094,859340,0.0,0.0,0.0
2000-06-16,62.777398135618114,62.777398135618114,59.40227197946217,60.07729721069336,416446,0.0,0.0,0.0
2000-06-19,59.40226966121638,62.77739568565393,59.40226966121638,61.427345275878906,223709,0.0,0.0,0.0
2000-06-20,62.10237048076642,63.11490828809768,61.427345275878906,61.427345275878906,169457,0.0,0.0,0.0
2000-06-21,61.42734767315574,62.777398135618114,60.07729721069336,60.07729721069336,123953,0.0,0.0,0.0
2000-06-22,60.077294139217244,61.42734453265775,59.73978154085712,60.7523193359375,117796,0.0,0.0,0.0
2000-06-23,60.7523214936764,63.45242237645682,60.07729627298129,62.77739715576172,177458,0.0,0.0,0.0
2000-06-26,61.42734453265775,62.77739492609825,59.73978154085712,60.7523193359375,129999,0.0,0.0,0.0
2000-06-27,62.77739295125357,62.77739295125357,58.7272418983413,59.064754486083984,163483,0.0,0.0,0.0
2000-06-28,62.43988076528463,62.43988076528463,59.06475486614025,59.40226745605469,342987,0.0,0.0,0.0
2000-06-29,60.077294139217244,62.77739492609825,60.077294139217244,60.7523193359375,330430,0.0,0.0,0.0
2000-06-30,64.80247703240893,64.80247703240893,62.43988149935865,63.45241928100586,373606,0.0,0.0,0.0
2000-07-03,63.4524201228185,64.80247789213256,60.7523193359375,60.7523193359375,200168,0.0,0.0,0.0
2000-07-04,60.75232021690418,61.427345423412945,57.377190496423545,58.05221939086914,182398,0.0,0.0,0.0
2000-07-05,57.37718966439947,60.7523193359375,57.03967706603934,60.7523193359375,152099,0.0,0.0,0.0
2000-07-06,59.40226980388666,60.077295010395424,58.05221939086914,58.05221939086914,113795,0.0,0.0,0.0
2000-07-07,59.40227054574956,59.40227054574956,57.37719121299564,58.72724533081055,77996,0.0,0.0,0.0
2000-07-10,58.72724175667,58.72724175667,55.35211219944847,55.68962478637695,83719,0.0,0.0,0.0
2000-07-11,55.352114524508416,57.377190131142434,54.002064120085734,54.339576721191406,118507,0.0,0.0,0.0
2000-07-12,50.62693405151367,54.339576324510425,50.62693405151367,50.62693405151367,222592,0.0,0.0,0.0
2000-07-13,50.626936444714005,50.964449059310475,47.926831840005285,49.276885986328125,175595,0.0,0.0,0.0
2000-07-14,49.95191096794843,52.65201187133789,49.95191096794843,52.65201187133789,177736,0.0,0.0,0.0
2000-07-17,56.02714084680991,57.71470757401277,54.00206519969074,55.352115631103516,167996,0.0,0.0,0.0
2000-07-18,55.3521164626643,55.3521164626643,51.97698664549053,52.65201187133789,109988,0.0,0.0,0.0
2000-07-19,55.3521164626643,55.3521164626643,51.97698664549053,52.65201187133789,109988,0.0,0.0,0.0
2000-07-20,51.30195999145508,51.97698519851051,50.626934784399644,51.30195999145508,88819,0.0,0.0,0.0
2000-07-21,51.30196106950672,52.65201151198734,50.626935848266406,52.31449890136719,71525,0.0,0.0,0.0
2000-07-24,50.626934784399644,52.31449780203823,50.626934784399644,51.30195999145508,76637,0.0,0.0,0.0
2000-07-25,50.289423830117535,51.976986903099885,49.276885986328125,49.276885986328125,73618,0.0,0.0,0.0
2000-07-26,49.276882924324546,51.639471079691575,48.26434145551623,49.951908111572266,44558,0.0,0.0,0.0
2000-07-27,48.93936734411029,48.93936734411029,46.57677915488519,47.25180435180664,107393,0.0,0.0,0.0
2000-07-28,47.25180508436153,47.92683029174805,46.57677987697501,47.92683029174805,67067,0.0,0.0,0.0
2000-07-31,46.57677915488519,48.93936734411029,46.57677915488519,47.25180435180664,47692,0.0,0.0,0.0
2000-08-01,47.589316950267374,48.60185474564956,47.25180435180664,47.25180435180664,36586,0.0,0.0,0.0
2000-08-02,47.25180282205972,47.25180282205972,45.56423988438985,45.90175247192383,45430,0.0,0.0,0.0
2000-08-03,45.90175556726736,46.57678078785502,43.87667621756744,45.22673034667969,57290,0.0,0.0,0.0
2000-08-04,44.551698433851264,46.57677764699178,44.551698433851264,45.90175247192383,67363,0.0,0.0,0.0
2000-08-07,43.87667389704556,45.226727954757,43.2016487121582,43.2016487121582,62443,0.0,0.0,0.0
2000-08-08,43.20165145864513,43.539164072545724,41.17657577524159,42.18911361694336,119343,0.0,0.0,0.0
2000-08-09,42.189114317868786,43.201652176392756,41.514089078852805,42.864139556884766,126083,0.0,0.0,0.0
2000-08-10,43.539164795900746,43.87667741540873,42.526626937376776,42.864139556884766,140480,0.0,0.0,0.0
2000-08-11,42.86413611971452,43.53916130460188,40.83906056505244,43.2016487121582,107385,0.0,0.0,0.0
2000-08-14,43.53916370211796,43.53916370211796,41.5140880359436,41.851600646972656,65848,0.0,0.0,0.0
2000-08-15,41.85159916334724,42.52662436147594,40.501548767089844,40.501548767089844,67327,0.0,0.0,0.0
2000-08-16,40.50154788379501,40.50154788379501,38.13895605393334,39.82651901245117,189895,0.0,0.0,0.0
2000-08-17,39.82651985836112,39.82651985836112,37.12641906738281,37.12641906738281,201846,0.0,0.0,0.0
2000-08-18,37.12642171421077,37.12642171421077,34.76382966573335,36.1138801574707,250985,0.0,0.0,0.0
2000-08-21,39.489007640604974,40.83906173706055,39.489007640604974,40.83906173706055,314367,0.0,0.0,0.0
2000-08-22,43.201650337899906,43.53916294304468,40.839062101886476,41.17657470703125,826012,0.0,0.0,0.0
2000-08-23,41.17657470703125,41.17657470703125,41.17657470703125,41.17657470703125,0,0.0,0.0,0.0
2000-08-24,41.17657396521854,41.85159916334724,40.501548767089844,40.501548767089844,246767,0.0,0.0,0.0
