Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-01-04,3.7057545605247766,3.857008634705375,3.6553362879387428,3.781381845474243,6324993,0.0,0.0
2000-01-05,3.7561730622773197,4.033473968505859,3.7309637988531983,4.033473968505859,7236372,0.0,0.0
2000-01-06,4.3107757568359375,4.3107757568359375,4.3107757568359375,4.3107757568359375,4400588,0.0,0.0
2000-01-07,4.562867826141797,4.588076591491699,4.335984972245873,4.588076591491699,9898255,0.0,0.0
2000-01-10,4.865379040927071,4.89058780670166,4.739332237743965,4.89058780670166,5202682,0.0,0.0
2000-01-11,5.218307102478817,5.218307102478817,4.966214988687708,5.0166335105896,8240792,0.0,0.0
2000-01-12,5.092260718722548,5.293935298919678,4.941006146800142,5.293935298919678,5239935,0.0,0.0
2000-01-13,5.293935034444293,5.495607621692858,5.142679478641655,5.394771575927734,4669040,0.0,0.0
2000-01-14,5.470398632285223,5.495607892829411,5.092260715559091,5.218307018280029,2840318,0.0,0.0
2000-01-17,5.924166223314477,5.924166223314477,5.697283358604753,5.848537445068359,2840318,0.0,0.0
2000-01-18,5.848537707056872,5.848537707056872,5.6720733589819075,5.747701644897461,1324795,0.0,0.0
2000-01-19,5.747701752454994,5.747701752454994,5.3947725539822535,5.546028137207031,2284730,0.0,0.0
2000-01-20,5.495608460263309,5.546027977994296,5.293935842241682,5.4451904296875,1835639,0.0,0.0
2000-01-21,5.4451893554692115,5.54602688388294,5.344353314210368,5.495607376098633,912923,0.0,0.0
2000-01-24,5.546027904756341,5.873747825622559,5.495608387691168,5.873747825622559,9189542,0.0,0.0
2000-01-25,5.87374796189272,5.87374796189272,5.646864095582855,5.747701644897461,3180550,0.0,0.0
2000-01-26,5.77291142672006,5.999793826249403,5.77291142672006,5.974585056304932,5837347,0.0,0.0
2000-01-27,5.974584519770529,5.999793287451183,5.6720733589819075,5.747701644897461,2160395,0.0,0.0
2000-01-28,5.722492221174649,5.848537543201774,5.621655170403535,5.64686393737793,1100044,0.0,0.0
2000-01-31,5.54602688388294,5.646862925141783,5.4451893554692115,5.495607376098633,969111,0.0,0.0
2000-02-01,5.293935746834183,5.64686393737793,5.293935746834183,5.64686393737793,2628198,0.0,0.0
2000-02-02,5.64686393737793,5.64686393737793,5.64686393737793,5.64686393737793,0,0.0,0.0
2000-02-03,5.64686393737793,5.64686393737793,5.64686393737793,5.64686393737793,0,0.0,0.0
2000-02-04,5.64686393737793,5.64686393737793,5.64686393737793,5.64686393737793,0,0.0,0.0
2000-02-07,5.64686393737793,5.64686393737793,5.64686393737793,5.64686393737793,0,0.0,0.0
2000-02-08,5.64686393737793,5.64686393737793,5.64686393737793,5.64686393737793,0,0.0,0.0
2000-02-09,5.697283720431808,5.697283720431808,5.293935994217476,5.546028137207031,3917682,0.0,0.0
2000-02-10,5.445190946937385,5.697284098073631,5.344354876207142,5.672073841094971,1817082,0.0,0.0
2000-02-11,5.672073200070709,5.697283454200255,5.445190331554087,5.64686393737793,3215489,0.0,0.0
2000-02-14,5.64686396457637,5.898957088436759,5.520818641942141,5.873747825622559,6131171,0.0,0.0
2000-02-15,5.8989563145088395,6.251884460449219,5.8989563145088395,6.251884460449219,8613745,0.0,0.0
2000-02-16,6.2518854409654425,6.403141021728516,6.025002565539232,6.403141021728516,7235442,0.0,0.0
2000-02-17,6.302303870420795,6.831697940826415,6.226676570978647,6.831697940826416,11799439,0.0,0.0
2000-02-18,6.705652239289963,7.058579921722412,6.705652239289963,7.058579921722412,6916461,0.0,0.0
2000-02-21,6.806489055705841,6.806489055705841,6.377932548522949,6.377932548522949,4840399,0.0,0.0
2000-02-22,5.999794006347656,6.201468137704704,5.9493759692268515,5.999794006347656,3588916,0.0,0.0
2000-02-23,6.050211771062667,6.25188538109713,5.9493752139046325,6.176258087158203,1846619,0.0,0.0
2000-02-24,6.35272260887711,6.35272260887711,6.050211465524748,6.201467037200928,1396962,0.0,0.0
2000-02-25,6.201467570260554,6.201467570260554,5.772911071777344,5.772911071777344,2608350,0.0,0.0
2000-02-28,5.772911071777344,5.772911071777344,5.772911071777344,5.772911071777344,0,0.0,0.0
2000-02-29,5.6720732671777805,5.6720732671777805,5.369563102722167,5.369563102722168,3956607,0.0,0.0
2000-03-01,5.293935994217476,5.596446169230216,5.293935994217476,5.546028137207031,1126389,0.0,0.0
2000-03-02,5.596445938065212,5.79811954498291,5.571236675235702,5.79811954498291,3368458,0.0,0.0
2000-03-03,5.772910541273087,6.050211429595946,5.697283251602474,6.050211429595947,2170241,0.0,0.0
2000-03-06,6.302303741601647,6.302303741601647,5.7981199379919355,6.07542085647583,2510409,0.0,0.0
2000-03-07,5.9997936636662,5.9997936636662,5.7981200395463075,5.949375629425049,2172571,0.0,0.0
2000-03-08,5.873747698774899,5.949374989865889,5.798119416247157,5.848537445068359,2159879,0.0,0.0
2000-03-09,5.848538679558047,5.949376245640028,5.798120640094776,5.898958206176758,3056906,0.0,0.0
2000-03-10,5.949374753508473,6.151048347936297,5.949374753508473,6.1006293296813965,9354099,0.0,0.0
2000-03-13,6.050211953358212,6.050211953358212,5.697283744812012,5.697283744812012,1015607,0.0,0.0
2000-03-14,5.319145679473877,5.319145679473877,5.319145679473877,5.319145679473877,1819680,0.0,0.0
2000-03-15,4.96621561050415,5.293936043900098,4.96621561050415,4.96621561050415,4051826,0.0,0.0
2000-03-16,4.638493537902832,4.638493537902832,4.638493537902832,4.638493537902832,712569,0.0,0.0
2000-03-17,4.386401977352929,4.840167579491933,4.386401977352929,4.638493537902832,2097609,0.0,0.0
2000-03-20,4.487239360809326,4.487239360809326,4.487239360809326,4.487239360809326,51559,0.0,0.0
2000-03-21,4.3359853268374255,4.789750576019287,4.3359853268374255,4.789750576019287,5000276,0.0,0.0
2000-03-22,4.764541278228632,5.067051410675049,4.638494480892339,5.067051410675049,3819879,0.0,0.0
2000-03-23,5.117469945171702,5.419980049133301,5.117469945171702,5.419980049133301,3539445,0.0,0.0
2000-03-24,5.470398635683591,5.470398635683591,5.243516282081639,5.293935298919678,2912487,0.0,0.0
2000-03-27,5.293935746834183,5.64686393737793,5.193098200344686,5.64686393737793,5474446,0.0,0.0
2000-03-28,5.747701483867428,5.823328776227379,5.546027878043584,5.64686393737793,4025939,0.0,0.0
