Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-12-01,26.151676519770014,26.84352106480003,20.47855867502742,21.032033920288086,73778227,0.0,0.0
2001-01-01,21.03203566736575,23.661042812284673,20.61692968739263,21.447141647338867,100166376,0.0,0.0
2001-02-01,21.44713191374787,22.415712745375604,18.40302407803098,18.541391372680664,82525798,0.0,0.0
2001-03-01,18.12629739231184,19.23324612056725,16.880979340343103,17.296085357666016,3163556680,0.0,0.0
2001-04-01,17.434447538617245,18.81813450247807,15.912392269133628,17.9879207611084,13884772326,0.0,0.0
2001-05-01,17.987920228099824,19.09487250173092,16.742604537487033,16.88097381591797,8311649619,0.0,0.0
2001-06-01,16.880975236263378,17.84955440532582,12.840609550476072,12.840609550476074,7277853395,7.032258,0.0
2001-07-01,14.47893530685476,14.977137576314362,11.987933852199237,13.856186866760254,57763115,0.0,0.0
2001-08-01,13.887328108209164,14.914863960212799,13.077753607224881,14.105289459228516,36283482,0.0,0.0
2001-09-01,14.323251398117025,14.416664337350133,12.828649866300589,13.669363021850586,35437356,0.0,0.0
2001-10-01,13.669362839778344,15.039413767701925,13.575949901789471,14.60348892211914,33137619,0.0,0.0
2001-11-01,14.572350371687095,15.25737749357765,13.887326547344522,14.354390144348145,61252992,0.0,0.0
2001-12-01,14.634622316451795,17.748373289016953,14.478935207496534,16.191497802734375,109825964,0.0,0.0
2002-01-01,16.1914990092015,16.502875448678406,15.101685867762626,15.56874942779541,50702696,0.0,0.0
2002-02-01,15.880121807644914,16.035812218277,15.319649739396148,15.506474494934082,15782556,0.0,0.0
2002-03-01,15.56874978136544,16.191499376914322,15.47533684740094,15.724435806274414,30172441,0.0,0.0
2002-04-01,15.56875068745564,16.502876783918335,15.41306355430319,16.03581428527832,36437917,0.0,0.0
2002-05-01,16.03581137943263,17.125623312380544,15.568747866246422,16.658559799194336,49776476,0.0,0.0
2002-06-01,16.502874016441645,17.28130955166287,16.035811596126432,16.814247131347656,50617971,0.0,0.0
2002-07-01,16.81424960603744,17.12562606431869,14.541211353228073,14.883723258972168,75909704,4.243604,0.0
2002-08-01,15.927536123824044,15.927536123824044,14.753931999206543,14.753931999206543,33080512,0.0,0.0
2002-09-01,14.753930279616934,16.229324136167627,14.351549706485448,15.894004821777344,1032235239,0.0,0.0
2002-10-01,15.8940060183053,16.933486383210624,15.323968704311712,16.262853622436523,48676113,0.0,0.0
2002-11-01,16.329919702241373,17.10114436253587,16.128729991378346,16.564640045166016,5002725168,0.0,0.0
2002-12-01,16.564640667495603,17.771781345423076,15.894006694491738,17.26880645751953,60319988,0.0,0.0
2003-01-01,17.268802759808054,19.280699513224032,16.59816893040479,19.1130428314209,65327499,0.0,0.0
2003-02-01,19.113045245782313,19.951334679183045,17.268804941204884,17.60411834716797,45082041,0.0,0.0
2003-03-01,17.771777359782327,18.442409998686053,17.101141169783276,18.107091903686523,43851357,0.0,0.0
2003-04-01,18.10709596452759,18.274752682230492,16.69876793557586,17.26880645751953,99549196,0.0,0.0
2003-05-01,17.268805188425244,17.268805188425244,16.598171264706647,16.698766708374023,100592906,0.0,0.0
2003-06-01,16.598170425197925,17.939435837398833,16.56463861233812,17.10114288330078,122275737,0.0,0.0
2003-07-01,17.10114506683893,17.771781409664428,15.692817032796382,15.99460220336914,192408706,4.849833,0.0
2003-08-01,17.45305293185048,18.076380503698385,16.793066874464692,17.92971420288086,117748691,0.0,0.0
2003-09-01,17.96638322641529,17.96638322641529,17.306393231711464,17.563053131103516,106426433,0.0,0.0
2003-10-01,17.636387922044044,19.799683964275175,17.45305406337616,19.61635398864746,177714208,0.0,0.0
2003-11-01,19.433027856428698,19.616356561757215,18.149713975660134,18.516372680664062,136718332,0.0,0.0
2003-12-01,18.5163683059679,18.5163683059679,17.416384684758007,18.076379776000977,102599913,0.0,0.0
2004-01-01,18.076379950500755,19.43302345275879,18.076379950500755,19.43302345275879,137285166,0.0,0.0
2004-02-01,19.433025800918134,20.533005682621233,19.06636325165692,19.983013153076172,198383228,0.0,0.0
2004-03-01,20.166345996594078,21.99965088410992,19.9830121425411,20.716337203979492,362148154,0.0,0.0
2004-04-01,20.716337725453915,21.266330241030506,19.43302530736647,19.61635398864746,145502170,0.0,0.0
2004-05-01,19.616352654032788,20.71633631600095,19.066361470222024,19.7996826171875,139469608,0.0,0.0
2004-06-01,19.79968263346864,21.266328811645508,19.79968263346864,21.266328811645508,114536600,0.0,0.0
2004-07-01,21.266330241030506,21.63298889793921,19.066362767417594,19.61635398864746,142214179,5.456063,0.0
2004-08-01,21.486820675875233,21.888441120470286,21.085195977982753,21.687631607055664,85107288,0.0,0.0
2004-09-01,21.68763153890198,22.89250137549567,21.28601109556902,22.69169044494629,141506743,0.0,0.0
2004-10-01,22.691687156058897,23.49493217960151,22.089253033960542,23.29412269592285,176642027,0.0,0.0
2004-11-01,23.294125840630127,25.703861236572266,23.294125840630127,25.703861236572266,68777997852,0.0,0.0
2004-12-01,25.3022385120031,25.703863235881492,24.498994735309918,25.101428985595703,8715664703,0.0,0.0
2005-01-01,25.302236543933226,26.507104950787188,25.101427033145285,25.703861236572266,19260837641,0.0,0.0
2005-02-01,25.904670747360207,26.105480258148148,25.101427033145285,25.703861236572266,149430505,0.0,0.0
2005-03-01,25.703861383374882,26.507105102177377,25.18174927996219,26.185808181762695,158434443,0.0,0.0
2005-04-01,26.225964716975167,26.34645211121874,23.8965531037245,24.69980239868164,14083634154,0.0,0.0
2005-05-01,24.699804116541625,24.940778921788453,23.69574526354463,24.82029151916504,182944138,0.0,0.0
2005-06-01,24.820290904332577,26.346453290964874,24.097369342031303,25.784181594848633,156933098,0.0,0.0
2005-07-01,25.744017045256626,26.547260640125558,25.061258004746225,26.10547637939453,101040888,0.0,0.0
2005-08-01,26.105478321846324,26.507102984695962,23.093308945896556,24.498991012573242,39861350237,5.698554,0.0
2005-09-01,26.75655942718927,28.69206514157758,24.694986652680388,28.544424057006836,167693526,0.0,0.0
2005-10-01,28.544422674763975,28.790493201682104,25.00202934869837,27.953845977783203,169748503,0.0,0.0
2005-11-01,28.101497070238427,28.593644438882453,27.707782272147824,28.052282333374023,130777265,0.0,0.0
2005-12-01,28.052275427279998,28.39677850051878,24.782713831499834,27.953845977783203,5668887533,0.0,0.0
2006-01-01,27.806206169192414,28.790494515426907,24.73885154724121,24.73885154724121,115255085,0.0,0.0
2006-02-01,24.738855980458307,29.528717615077806,24.738855980458307,26.010889053344727,242662351,0.0,0.0
2006-03-01,29.085790583706512,30.1685086707967,28.642861020228672,30.11929702758789,184079717,0.0,0.0
2006-04-01,30.020861713034833,30.21771753808605,26.27406673796224,30.168502807617188,121735308,0.0,0.0
2006-05-01,30.168502882557004,30.660650188468104,26.317930221557617,26.317930221557617,9654973376,0.0,0.0
2006-06-01,29.82400505499205,30.119293460219478,28.692069265111364,28.790498733520508,188945038,0.0,0.0
2006-07-01,28.987354170437055,30.02086036712418,25.52841070989176,29.67635726928711,14337921081,0.0,0.0
2006-08-01,29.77478457509272,30.11928764804533,26.856362548502926,27.107357025146484,192165526,5.213571,1.02
2006-09-01,29.220770661136328,29.814906664106086,29.004720902593164,29.652870178222656,174100169,0.0,0.0
2006-10-01,29.598851423197377,31.381265766155437,27.89009137785583,30.787126541137695,6844730012,0.0,0.0
2006-11-01,30.787124488406786,32.245462490293676,30.517064857326943,31.759349822998047,195309712,0.0,0.0
2006-12-01,31.75934598054467,32.785584450028836,31.43527312961933,32.731571197509766,137951767,0.0,0.0
2007-01-01,29.755979901940147,34.35195212475637,29.755979901940147,34.135902404785156,140025824,0.0,0.0
