Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2001-02-01,29.684804916381836,42.40684127807617,29.015222549438477,33.479087829589844,46161738,0.0,0.0,0.0
2001-03-01,32.36313247680664,59.59279251098633,30.800756454467773,53.56655502319336,84124729,0.0,0.0,0.0
2001-04-01,52.89697265625,55.352115631103516,46.647544860839844,46.870731353759766,66331895,0.0,0.0,0.0
2001-05-01,46.870731353759766,50.88822555541992,40.84449005126953,45.977962493896484,52786681,0.0,0.0,0.0
2001-06-01,46.870731353759766,56.021697998046875,45.53156661987305,48.209896087646484,59052257,0.0,0.0,0.0
2001-07-01,48.209896087646484,50.6650390625,29.573211669921875,33.92548370361328,60500736,0.0,0.0,0.0
2001-08-01,34.1486701965332,37.496578216552734,29.126815795898438,30.800756454467773,55272640,0.0,0.0,0.0
2001-09-01,31.247154235839844,32.92112350463867,22.55040740966797,25.11603355407715,52136473,0.0,1.1,0.0
2001-10-01,25.11603355407715,29.437057495117188,20.524913787841797,26.466333389282227,19182163086,0.0,0.0,0.0
2001-11-01,27.54659652709961,32.94788360595703,26.196266174316406,26.466333389282227,26073393332,0.0,0.0,0.0
2001-12-01,27.006465911865234,37.26893615722656,27.006465911865234,31.86764907836914,22905252586,0.0,0.0,0.0
2002-01-01,31.86764907836914,43.75048828125,30.652353286743164,36.458740234375,108173144,0.0,0.0,0.0
2002-02-01,36.998870849609375,38.75429916381836,33.21794891357422,35.51350784301758,26418053,0.0,0.0,0.0
2002-03-01,36.18867111206055,43.48041915893555,35.1084098815918,43.48041915893555,102460032,0.0,0.0,0.0
2002-04-01,44.02055358886719,56.44352340698242,44.02055358886719,46.45114517211914,177361618,0.0,0.0,0.0
2002-05-01,46.45114517211914,47.261314392089844,36.05363845825195,41.589962005615234,68614659,0.0,0.0,0.0
2002-06-01,40.779762268066406,43.48041915893555,32.407779693603516,32.677818298339844,37859443,0.0,0.0,0.0
2002-07-01,32.407779693603516,33.758079528808594,26.736398696899414,28.356794357299805,3450467762,0.0,0.0,0.0
2002-08-01,28.761892318725586,29.031957626342773,25.11603355407715,25.521102905273438,19434274860,0.0,0.0,0.0
2002-09-01,24.710933685302734,25.386098861694336,20.25484848022461,24.845966339111328,1326608435,0.0,0.0,0.0
2002-10-01,24.845966339111328,30.51732063293457,22.685440063476562,29.031957626342773,22753746506,0.0,0.0,0.0
2002-11-01,29.437057495117188,30.382286071777344,23.63067054748535,24.17080307006836,22553633882,0.0,0.0,0.0
2002-12-01,24.17080307006836,25.251066207885742,19.984783172607422,20.93001365661621,3578879161,0.0,0.0,0.0
2003-01-01,20.93001365661621,24.845966339111328,20.93001365661621,23.22557258605957,502658758,0.0,0.0,0.0
2003-02-01,23.22557258605957,24.035770416259766,20.794979095458984,21.065046310424805,1103016278,0.0,0.0,0.0
2003-03-01,21.875242233276367,22.415374755859375,19.444650650024414,19.444650650024414,4687700510,0.0,0.0,0.0
2003-04-01,19.444650650024414,21.065046310424805,16.068857192993164,16.203889846801758,13311899745,0.0,0.0,0.0
