Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-08-01,112.00947457452986,118.23222316200373,81.37440460542767,88.93743896484375,2031701,0.0,0.0
2023-09-01,88.0758285522461,100.99999904632568,88.0758285522461,95.7345962524414,712000,0.0,0.0
2023-10-01,96.69194214940235,96.69194214940235,89.32038116455078,89.32038116455078,376010,0.0,0.0
2023-11-01,89.0331724880156,90.9478643694783,82.81042387326181,86.4483413696289,693098,0.0,0.0
2023-12-01,86.44834148556855,90.37345838703726,83.09763068851504,89.03317260742188,743056,0.0,0.0
2024-01-01,89.03317603099646,89.51184902041042,82.90616030570375,85.7781982421875,236011,0.0,0.0
2024-02-01,85.87392611487044,88.55449761284721,85.01232062992122,86.1611328125,166000,0.0,0.0
2024-03-01,85.2037942764607,91.80948315868824,82.81042926869495,89.99052429199219,560326,0.0,0.0
2024-04-01,89.99052090826139,94.77725074380722,89.03317494115223,93.24549865722656,255401,0.0,0.0
2024-05-01,93.24549730444872,102.9146899711795,86.54407563190681,98.12796020507812,1023803,0.0,0.0
2024-06-01,99.08530718478734,107.70142085302972,94.49004364013672,94.49004364013672,524896,0.0,0.0
2024-07-01,95.54312809683742,100.99999705399617,93.91563561026786,96.69194030761719,553881,0.0,0.0
2024-08-01,101.5,106.0,91.5999984741211,99.80000305175781,586271,4.5,0.0
